"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,381,771","±264","2,381,771","(X)","329,757","±639","329,757","(X)","3,299,178","±852","3,299,178","(X)","1,421,029","±136","1,421,029","(X)","14,877,017","±1,124","14,877,017","(X)","2,662,111","±3,196","2,662,111","(X)","1,554,057","±191","1,554,057","(X)","476,415","±97","476,415","(X)","368,700","±86","368,700","(X)","10,629,845","±2,325","10,629,845","(X)","4,668,796","±534","4,668,796","(X)","572,824","±197","572,824","(X)","832,052","±1,315","832,052","(X)","5,482,133","±1,080","5,482,133","(X)","3,026,101","±258","3,026,101","(X)","1,458,471","±525","1,458,471","(X)","1,310,001","±918","1,310,001","(X)","2,051,004","±488","2,051,004","(X)","2,138,882","±318","2,138,882","(X)","764,713","±115","764,713","(X)","2,588,337","±274","2,588,337","(X)","3,057,853","±244","3,057,853","(X)","4,669,109","±1,252","4,669,109","(X)","2,597,229","±753","2,597,229","(X)","1,359,223","±158","1,359,223","(X)","2,858,527","±391","2,858,527","(X)","539,622","±174","539,622","(X)","880,521","±737","880,521","(X)","1,365,893","±223","1,365,893","(X)","657,198","±160","657,198","(X)","3,816,432","±2,877","3,816,432","(X)","973,944","±1,173","973,944","(X)","8,676,911","±743","8,676,911","(X)","5,073,509","±767","5,073,509","(X)","380,994","±1,011","380,994","(X)","5,336,168","±1,425","5,336,168","(X)","1,800,427","±262","1,800,427","(X)","1,896,851","±179","1,896,851","(X)","5,861,320","±507","5,861,320","(X)","488,011","±154","488,011","(X)","2,531,310","±358","2,531,310","(X)","423,705","±269","423,705","(X)","3,243,954","±269","3,243,954","(X)","12,616,736","±820","12,616,736","(X)","1,283,206","±322","1,283,206","(X)","343,166","±770","343,166","(X)","3,746,211","±965","3,746,211","(X)","3,400,980","±404","3,400,980","(X)","866,433","±142","866,433","(X)","2,820,538","±1,130","2,820,538","(X)","281,789","±133","281,789","(X)","1,616,963","±7,687","1,616,963","(X)"
"        Occupied housing units","2,059,528","±11,700","86.5%","±0.5","274,045","±3,774","83.1%","±1.2","2,982,475","±11,520","90.4%","±0.4","1,246,754","±7,595","87.7%","±0.5","13,797,638","±19,379","92.7%","±0.1","2,479,892","±8,293","93.2%","±0.3","1,455,235","±6,160","93.6%","±0.4","412,304","±3,893","86.5%","±0.8","329,687","±4,510","89.4%","±1.2","9,141,675","±28,885","86.0%","±0.3","4,220,732","±13,456","90.4%","±0.3","493,151","±6,276","86.1%","±1.1","751,181","±5,831","90.3%","±0.7","5,105,448","±12,305","93.1%","±0.2","2,775,637","±11,977","91.7%","±0.4","1,343,422","±8,051","92.1%","±0.6","1,204,374","±6,458","91.9%","±0.5","1,865,456","±8,525","91.0%","±0.4","1,848,965","±8,172","86.4%","±0.4","615,235","±5,086","80.5%","±0.7","2,401,394","±7,099","92.8%","±0.3","2,829,804","±9,140","92.5%","±0.3","4,131,281","±12,742","88.5%","±0.3","2,363,442","±7,555","91.0%","±0.3","1,176,690","±8,112","86.6%","±0.6","2,563,244","±10,377","89.7%","±0.4","468,981","±3,571","86.9%","±0.7","824,012","±4,590","93.6%","±0.5","1,238,925","±7,143","90.7%","±0.5","570,689","±4,703","86.8%","±0.7","3,543,944","±7,728","92.9%","±0.2","856,970","±6,035","88.0%","±0.6","7,828,074","±18,401","90.2%","±0.2","4,496,359","±13,556","88.6%","±0.3","349,705","±2,892","91.8%","±0.8","4,929,322","±14,176","92.4%","±0.3","1,603,748","±5,259","89.1%","±0.3","1,744,270","±7,249","92.0%","±0.4","5,361,724","±11,743","91.5%","±0.2","448,318","±4,122","91.9%","±0.8","2,222,890","±11,062","87.8%","±0.4","382,302","±3,562","90.2%","±0.9","2,928,765","±12,443","90.3%","±0.4","11,449,769","±22,867","90.8%","±0.2","1,184,428","±7,000","92.3%","±0.5","285,548","±2,976","83.2%","±0.9","3,449,307","±12,826","92.1%","±0.3","3,168,080","±9,393","93.2%","±0.3","740,840","±7,351","85.5%","±0.9","2,535,198","±8,638","89.9%","±0.3","256,289","±2,645","91.0%","±1.0","1,242,609","±10,856","76.8%","±0.5"
"        Vacant housing units","322,243","±11,723","13.5%","±0.5","55,712","±3,835","16.9%","±1.2","316,703","±11,630","9.6%","±0.4","174,275","±7,627","12.3%","±0.5","1,079,379","±19,306","7.3%","±0.1","182,219","±8,568","6.8%","±0.3","98,822","±6,161","6.4%","±0.4","64,111","±3,905","13.5%","±0.8","39,013","±4,510","10.6%","±1.2","1,488,170","±29,237","14.0%","±0.3","448,064","±13,658","9.6%","±0.3","79,673","±6,282","13.9%","±1.1","80,871","±5,823","9.7%","±0.7","376,685","±12,668","6.9%","±0.2","250,464","±12,005","8.3%","±0.4","115,049","±8,163","7.9%","±0.6","105,627","±6,825","8.1%","±0.5","185,548","±8,656","9.0%","±0.4","289,917","±8,280","13.6%","±0.4","149,478","±5,106","19.5%","±0.7","186,943","±7,121","7.2%","±0.3","228,049","±9,137","7.5%","±0.3","537,828","±13,100","11.5%","±0.3","233,787","±7,826","9.0%","±0.3","182,533","±8,137","13.4%","±0.6","295,283","±10,513","10.3%","±0.4","70,641","±3,525","13.1%","±0.7","56,509","±4,775","6.4%","±0.5","126,968","±7,220","9.3%","±0.5","86,509","±4,744","13.2%","±0.7","272,488","±8,182","7.1%","±0.2","116,974","±6,085","12.0%","±0.6","848,837","±18,526","9.8%","±0.2","577,150","±13,861","11.4%","±0.3","31,289","±3,073","8.2%","±0.8","406,846","±14,205","7.6%","±0.3","196,679","±5,314","10.9%","±0.3","152,581","±7,292","8.0%","±0.4","499,596","±11,893","8.5%","±0.2","39,693","±4,149","8.1%","±0.8","308,420","±11,163","12.2%","±0.4","41,403","±3,635","9.8%","±0.9","315,189","±12,549","9.7%","±0.4","1,166,967","±23,105","9.2%","±0.2","98,778","±7,004","7.7%","±0.5","57,618","±3,152","16.8%","±0.9","296,904","±13,056","7.9%","±0.3","232,900","±9,494","6.8%","±0.3","125,593","±7,399","14.5%","±0.9","285,340","±9,006","10.1%","±0.3","25,500","±2,689","9.0%","±1.0","374,354","±8,445","23.2%","±0.5"
"        Homeowner vacancy rate","1.2","±0.2","(X)","(X)","0.7","±0.4","(X)","(X)","1.1","±0.2","(X)","(X)","1.0","±0.2","(X)","(X)","0.8","±0.1","(X)","(X)","0.9","±0.2","(X)","(X)","0.5","±0.1","(X)","(X)","1.1","±0.4","(X)","(X)","1.9","±0.7","(X)","(X)","1.7","±0.1","(X)","(X)","1.0","±0.1","(X)","(X)","0.8","±0.3","(X)","(X)","1.3","±0.3","(X)","(X)","0.8","±0.1","(X)","(X)","0.9","±0.1","(X)","(X)","0.8","±0.2","(X)","(X)","0.7","±0.2","(X)","(X)","0.9","±0.2","(X)","(X)","1.2","±0.2","(X)","(X)","0.6","±0.2","(X)","(X)","0.8","±0.1","(X)","(X)","0.6","±0.1","(X)","(X)","0.7","±0.1","(X)","(X)","0.7","±0.1","(X)","(X)","1.1","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","0.8","±0.3","(X)","(X)","0.6","±0.2","(X)","(X)","1.0","±0.2","(X)","(X)","0.7","±0.3","(X)","(X)","0.7","±0.1","(X)","(X)","1.0","±0.3","(X)","(X)","1.1","±0.1","(X)","(X)","1.3","±0.1","(X)","(X)","1.1","±0.4","(X)","(X)","0.7","±0.1","(X)","(X)","1.3","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","0.6","±0.1","(X)","(X)","0.4","±0.3","(X)","(X)","0.8","±0.2","(X)","(X)","1.5","±0.6","(X)","(X)","0.9","±0.1","(X)","(X)","1.3","±0.1","(X)","(X)","1.0","±0.3","(X)","(X)","0.3","±0.2","(X)","(X)","0.7","±0.1","(X)","(X)","0.8","±0.1","(X)","(X)","1.0","±0.3","(X)","(X)","0.6","±0.1","(X)","(X)","1.0","±0.5","(X)","(X)","1.1","±0.2","(X)","(X)"
"        Rental vacancy rate","7.6","±0.7","(X)","(X)","6.7","±1.8","(X)","(X)","6.8","±0.5","(X)","(X)","6.0","±0.8","(X)","(X)","4.3","±0.2","(X)","(X)","4.6","±0.5","(X)","(X)","4.3","±0.7","(X)","(X)","7.6","±1.5","(X)","(X)","6.7","±1.4","(X)","(X)","8.4","±0.4","(X)","(X)","7.7","±0.5","(X)","(X)","5.9","±1.1","(X)","(X)","4.8","±1.1","(X)","(X)","4.2","±0.3","(X)","(X)","5.2","±0.5","(X)","(X)","5.7","±0.9","(X)","(X)","5.8","±0.8","(X)","(X)","4.2","±0.6","(X)","(X)","8.1","±0.7","(X)","(X)","3.6","±0.8","(X)","(X)","4.8","±0.5","(X)","(X)","3.6","±0.4","(X)","(X)","5.7","±0.4","(X)","(X)","5.7","±0.6","(X)","(X)","7.1","±0.9","(X)","(X)","5.1","±0.5","(X)","(X)","4.9","±1.2","(X)","(X)","3.7","±0.8","(X)","(X)","7.2","±0.8","(X)","(X)","3.8","±1.1","(X)","(X)","3.7","±0.3","(X)","(X)","6.8","±1.0","(X)","(X)","3.8","±0.2","(X)","(X)","7.4","±0.5","(X)","(X)","3.2","±0.9","(X)","(X)","4.8","±0.4","(X)","(X)","5.9","±0.5","(X)","(X)","5.1","±0.6","(X)","(X)","4.8","±0.3","(X)","(X)","3.8","±1.0","(X)","(X)","7.9","±0.8","(X)","(X)","7.1","±1.6","(X)","(X)","6.7","±0.6","(X)","(X)","8.5","±0.3","(X)","(X)","6.1","±0.9","(X)","(X)","2.1","±1.2","(X)","(X)","4.3","±0.4","(X)","(X)","4.8","±0.4","(X)","(X)","5.7","±1.1","(X)","(X)","4.3","±0.5","(X)","(X)","3.4","±1.2","(X)","(X)","6.6","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,381,771","±264","2,381,771","(X)","329,757","±639","329,757","(X)","3,299,178","±852","3,299,178","(X)","1,421,029","±136","1,421,029","(X)","14,877,017","±1,124","14,877,017","(X)","2,662,111","±3,196","2,662,111","(X)","1,554,057","±191","1,554,057","(X)","476,415","±97","476,415","(X)","368,700","±86","368,700","(X)","10,629,845","±2,325","10,629,845","(X)","4,668,796","±534","4,668,796","(X)","572,824","±197","572,824","(X)","832,052","±1,315","832,052","(X)","5,482,133","±1,080","5,482,133","(X)","3,026,101","±258","3,026,101","(X)","1,458,471","±525","1,458,471","(X)","1,310,001","±918","1,310,001","(X)","2,051,004","±488","2,051,004","(X)","2,138,882","±318","2,138,882","(X)","764,713","±115","764,713","(X)","2,588,337","±274","2,588,337","(X)","3,057,853","±244","3,057,853","(X)","4,669,109","±1,252","4,669,109","(X)","2,597,229","±753","2,597,229","(X)","1,359,223","±158","1,359,223","(X)","2,858,527","±391","2,858,527","(X)","539,622","±174","539,622","(X)","880,521","±737","880,521","(X)","1,365,893","±223","1,365,893","(X)","657,198","±160","657,198","(X)","3,816,432","±2,877","3,816,432","(X)","973,944","±1,173","973,944","(X)","8,676,911","±743","8,676,911","(X)","5,073,509","±767","5,073,509","(X)","380,994","±1,011","380,994","(X)","5,336,168","±1,425","5,336,168","(X)","1,800,427","±262","1,800,427","(X)","1,896,851","±179","1,896,851","(X)","5,861,320","±507","5,861,320","(X)","488,011","±154","488,011","(X)","2,531,310","±358","2,531,310","(X)","423,705","±269","423,705","(X)","3,243,954","±269","3,243,954","(X)","12,616,736","±820","12,616,736","(X)","1,283,206","±322","1,283,206","(X)","343,166","±770","343,166","(X)","3,746,211","±965","3,746,211","(X)","3,400,980","±404","3,400,980","(X)","866,433","±142","866,433","(X)","2,820,538","±1,130","2,820,538","(X)","281,789","±133","281,789","(X)","1,616,963","±7,687","1,616,963","(X)"
"        1-unit, detached","1,665,825","±12,372","69.9%","±0.5","211,282","±4,466","64.1%","±1.4","2,125,709","±16,587","64.4%","±0.5","997,832","±9,437","70.2%","±0.7","8,444,064","±34,301","56.8%","±0.2","1,628,288","±15,091","61.2%","±0.6","906,774","±10,086","58.3%","±0.6","284,486","±5,391","59.7%","±1.1","39,380","±2,912","10.7%","±0.8","5,825,909","±32,391","54.8%","±0.3","3,095,666","±21,211","66.3%","±0.5","298,961","±5,978","52.2%","±1.0","610,192","±5,780","73.3%","±0.7","3,196,758","±20,660","58.3%","±0.4","2,187,695","±13,073","72.3%","±0.4","1,045,363","±8,451","71.7%","±0.6","941,324","±7,643","71.9%","±0.6","1,379,666","±12,822","67.3%","±0.6","1,411,414","±12,253","66.0%","±0.6","526,573","±6,428","68.9%","±0.8","1,319,758","±13,036","51.0%","±0.5","1,550,775","±12,269","50.7%","±0.4","3,343,661","±14,353","71.6%","±0.3","1,697,393","±12,980","65.4%","±0.5","948,617","±10,783","69.8%","±0.8","2,009,332","±10,735","70.3%","±0.4","362,862","±5,608","67.2%","±1.0","627,861","±6,268","71.3%","±0.7","820,816","±9,817","60.1%","±0.7","408,906","±6,345","62.2%","±1.0","1,994,246","±14,661","52.3%","±0.4","629,840","±8,786","64.7%","±0.9","3,543,124","±19,543","40.8%","±0.2","3,309,681","±23,511","65.2%","±0.5","213,080","±4,512","55.9%","±1.2","3,670,987","±18,396","68.8%","±0.3","1,310,575","±6,800","72.8%","±0.4","1,184,472","±11,093","62.4%","±0.6","3,304,723","±17,181","56.4%","±0.3","273,356","±6,947","56.0%","±1.4","1,662,876","±14,328","65.7%","±0.6","277,056","±4,914","65.4%","±1.2","2,196,737","±14,107","67.7%","±0.4","8,098,202","±31,906","64.2%","±0.3","833,766","±7,389","65.0%","±0.6","231,055","±3,917","67.3%","±1.1","2,269,921","±14,292","60.6%","±0.4","2,063,980","±14,682","60.7%","±0.4","618,281","±7,608","71.4%","±0.9","1,855,771","±12,635","65.8%","±0.5","191,852","±3,697","68.1%","±1.3","1,089,054","±8,975","67.4%","±0.5"
"        1-unit, attached","47,155","±4,250","2.0%","±0.2","25,371","±2,757","7.7%","±0.8","172,253","±7,968","5.2%","±0.2","24,672","±2,896","1.7%","±0.2","1,113,357","±17,403","7.5%","±0.1","206,940","±8,122","7.8%","±0.3","103,851","±5,776","6.7%","±0.4","71,974","±4,353","15.1%","±0.9","77,897","±4,278","21.1%","±1.2","757,476","±16,066","7.1%","±0.2","213,797","±9,600","4.6%","±0.2","52,950","±3,261","9.2%","±0.6","33,673","±3,283","4.0%","±0.4","343,187","±9,787","6.3%","±0.2","125,234","±6,596","4.1%","±0.2","68,991","±4,022","4.7%","±0.3","67,404","±4,316","5.1%","±0.3","64,060","±4,611","3.1%","±0.2","61,792","±4,700","2.9%","±0.2","18,936","±1,991","2.5%","±0.3","557,915","±9,388","21.6%","±0.4","181,639","±6,407","5.9%","±0.2","232,297","±7,927","5.0%","±0.2","189,610","±7,555","7.3%","±0.3","18,681","±2,517","1.4%","±0.2","118,511","±5,292","4.1%","±0.2","24,784","±2,881","4.6%","±0.5","35,439","±2,779","4.0%","±0.3","77,713","±5,361","5.7%","±0.4","36,937","±2,671","5.6%","±0.4","370,008","±9,443","9.7%","±0.2","38,300","±3,367","3.9%","±0.3","464,442","±11,753","5.4%","±0.1","255,956","±9,848","5.0%","±0.2","25,883","±2,430","6.8%","±0.6","279,420","±9,844","5.2%","±0.2","42,681","±2,832","2.4%","±0.2","101,408","±6,517","5.3%","±0.3","1,095,678","±15,826","18.7%","±0.3","18,286","±2,577","3.7%","±0.5","100,844","±6,236","4.0%","±0.2","21,456","±2,504","5.1%","±0.6","138,350","±7,585","4.3%","±0.2","365,107","±12,048","2.9%","±0.1","108,873","±5,482","8.5%","±0.4","14,598","±1,674","4.3%","±0.5","434,259","±10,084","11.6%","±0.3","154,278","±6,929","4.5%","±0.2","23,535","±2,373","2.7%","±0.3","126,962","±5,960","4.5%","±0.2","11,319","±1,892","4.0%","±0.7","189,542","±6,883","11.7%","±0.4"
