SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,LineCode,Description,2024
00000,United States,1,RPPs: All items,100.000
00000,United States,2,"  RPPs: Goods",99.567
00000,United States,3,"  RPPs: Services: Housing",100.629
00000,United States,4,"  RPPs: Services: Utilities",98.441
00000,United States,5,"  RPPs: Services: Other",100.147
01000,Alabama,1,RPPs: All items,88.823
01000,Alabama,2,"  RPPs: Goods",96.399
01000,Alabama,3,"  RPPs: Services: Housing",61.785
01000,Alabama,4,"  RPPs: Services: Utilities",84.643
01000,Alabama,5,"  RPPs: Services: Other",96.711
02000,Alaska,1,RPPs: All items,102.359
02000,Alaska,2,"  RPPs: Goods",106.319
02000,Alaska,3,"  RPPs: Services: Housing",93.784
02000,Alaska,4,"  RPPs: Services: Utilities",119.021
02000,Alaska,5,"  RPPs: Services: Other",102.208
04000,Arizona,1,RPPs: All items,100.677
04000,Arizona,2,"  RPPs: Goods",95.361
04000,Arizona,3,"  RPPs: Services: Housing",106.804
04000,Arizona,4,"  RPPs: Services: Utilities",92.317
04000,Arizona,5,"  RPPs: Services: Other",102.808
05000,Arkansas,1,RPPs: All items,86.937
05000,Arkansas,2,"  RPPs: Goods",93.597
05000,Arkansas,3,"  RPPs: Services: Housing",58.203
05000,Arkansas,4,"  RPPs: Services: Utilities",74.731
05000,Arkansas,5,"  RPPs: Services: Other",95.312
06000,California,1,RPPs: All items,110.720
06000,California,2,"  RPPs: Goods",106.098
06000,California,3,"  RPPs: Services: Housing",154.346
06000,California,4,"  RPPs: Services: Utilities",158.899
06000,California,5,"  RPPs: Services: Other",102.591
08000,Colorado,1,RPPs: All items,103.052
08000,Colorado,2,"  RPPs: Goods",98.727
08000,Colorado,3,"  RPPs: Services: Housing",127.359
08000,Colorado,4,"  RPPs: Services: Utilities",84.971
08000,Colorado,5,"  RPPs: Services: Other",99.613
09000,Connecticut,1,RPPs: All items,103.610
09000,Connecticut,2,"  RPPs: Goods",97.330
09000,Connecticut,3,"  RPPs: Services: Housing",117.048
09000,Connecticut,4,"  RPPs: Services: Utilities",146.495
09000,Connecticut,5,"  RPPs: Services: Other",102.658
10000,Delaware,1,RPPs: All items,99.808
