state,average_salary,median_rent,unemployment_rate,price_index,real_salary,rent_share
Alabama,57500,1077,2.8,88.823,64735.48517838848,22.476521739130433
Alaska,74720,1444,4.7,102.359,72997.97770591741,23.190578158458244
Arizona,67620,1672,4.7,100.677,67165.29098006495,29.671694764862465
Arkansas,54890,982,4.3,86.937,63137.674407904575,21.468391328110766
California,80690,2104,5.3,110.72,72877.52890173411,31.290122691783367
Colorado,77190,1822,3.9,103.052,74903.9319954974,28.324912553439564
Connecticut,77420,1550,5,103.61,74722.51713155101,24.024799793335056
Delaware,69880,1530,5.3,99.808,70014.42770118627,26.273611906124785
District of Columbia,111010,1931,6.2,109.901,101009.08999918107,20.873795153589768
Florida,64670,1812,4.8,103.414,62535.0532809871,33.62300912324107
Georgia,65920,1506,3.5,96.293,68457.72797607302,27.41504854368932
Hawaii,70270,1942,2.5,109.951,63910.28730980164,33.16351216735449
Idaho,61170,1384,3.6,95.494,64056.3805055815,27.150564001961747
Illinois,71130,1322,5.1,99.958,71159.88715260409,22.302825811893715
Indiana,60840,1104,3.2,93.329,65188.74090582778,21.77514792899408
Iowa,59830,981,3.3,87.762,68173.01337708803,19.675747952532173
Kansas,60640,1079,3.9,90.068,67326.90855797842,21.352242744063325
Kentucky,58990,998,4.3,90.159,65428.8534699808,20.30174605865401
Louisiana,56600,1064,4.4,88.207,64167.242962576674,22.558303886925795
Maine,65780,1210,3.1,97.05,67779.49510561567,22.073578595317723
Maryland,77580,1721,4.4,104.959,73914.57616783696,26.620262954369682
Massachusetts,85610,1848,4.7,105.757,80949.72436812692,25.903515944399018
Michigan,64920,1168,5,96.217,67472.48407246121,21.589648798521257
Minnesota,71160,1291,4.5,98.621,72155.01769400027,21.770657672849918
Mississippi,50810,990,3.8,86.953,58433.86657159615,23.381224168470773
Missouri,62160,1067,3.8,90.817,68445.3351244811,20.598455598455597
Montana,60880,1177,3.5,94.645,64324.58133023403,23.199737187910642
Nebraska,62400,1102,3,90.103,69254.07589092483,21.192307692307693
Nevada,62050,1709,5.3,99.979,62063.03323697977,33.050765511684126
New Hampshire,71360,1558,3.1,104.165,68506.69610713772,26.199551569506724
New Jersey,78040,1800,4.8,108.805,71724.64500712283,27.678113787801127
New Mexico,62330,1117,4.9,92.212,67594.2393614714,21.504893309802664
New York,82460,1634,4.6,107.921,76407.7427006792,23.77880184331797
North Carolina,64290,1338,3.7,94.326,68157.24190573119,24.974335044330378
North Dakota,64050,980,2.4,88.959,71999.46042558932,18.360655737704917
Ohio,64390,1090,3.9,92.774,69405.22129044775,20.31371330952011
Oklahoma,56950,1044,4,87.843,64831.574513620886,21.9982440737489
Oregon,72460,1597,5.2,103.361,70103.81091514206,26.44769528015457
Pennsylvania,65730,1252,4.2,97.572,67365.63768294183,22.857142857142858
Rhode Island,71900,1418,4.5,102.28,70297.22330856473,23.666203059805284
South Carolina,59280,1272,4.8,93.749,63232.67448186115,25.74898785425101
South Dakota,57610,999,2.2,88.586,65032.84943444788,20.808887345946882
Tennessee,60800,1284,3.6,91.87,66180.47240666159,25.342105263157894
Texas,65750,1475,4.3,97.057,67743.69700279216,26.92015209125475
Utah,66290,1593,3.8,98.864,67051.70739601877,28.83692864685473
Vermont,69050,1319,2.6,97.958,70489.39341350374,22.922519913106445
Virginia,74040,1646,3.8,101.104,73231.52397531255,26.677471636952998
Washington,83330,1824,5.2,107.013,77869.04394793155,26.266650666026642
West Virginia,56470,883,4.4,89.497,63097.08705319731,18.763945457765185
Wisconsin,64270,1142,3.5,94.095,68303.31048408523,21.32254551112494
Wyoming,61560,998,3.5,92.691,66414.2149723274,19.4541910331384
